183,1,someone
944,2,someone
1658,1,someone
5420,2,someone
6810,2,someone
10548,2,someone
10927,2,someone
13105,2,someone
13222,1,someone
13307,1,someone
13591,1,someone
13714,1,someone
13936,2,someone
14150,2,someone
14442,1,someone
14693,2,someone
15374,2,someone
15428,2,someone
15739,2,someone
16113,2,someone
16482,1,someone
16574,1,someone
26254,2,someone
26677,1,someone
28221,2,someone
28352,1,someone
28780,2,someone
29787,2,someone
30770,1,someone
31438,2,someone
31926,2,someone
32455,1,someone
32967,2,someone
33027,2,someone
33438,1,someone
33864,1,someone
34691,2,someone
35530,1,someone
36030,1,someone
36219,2,someone
36341,2,someone
36622,2,someone
37184,1,someone
37346,1,someone
37476,1,someone
37699,1,someone
37884,2,someone
37932,2,someone
38338,2,someone
39004,2,someone
39174,1,someone
39516,1,someone
39738,1,someone
39816,1,someone
40209,1,someone
40407,1,someone
42462,1,someone
42585,2,someone
42676,2,someone
42752,1,someone
43034,2,someone
43289,1,someone
43375,1,someone
44103,2,someone
44211,1,someone
44280,2,someone
44375,1,someone
46896,2,someone
47188,2,someone
47303,2,someone
47735,1,someone
47809,2,someone
47912,1,someone
48132,1,someone
48326,1,someone
48497,2,someone
48763,1,someone
49636,2,someone
49837,2,someone
51220,1,someone
51322,2,someone
51458,1,someone
51680,1,someone
53081,1,someone
53179,1,someone
53277,2,someone
53518,1,someone
53662,2,someone
53800,2,someone
55086,2,someone
55318,1,someone
56552,1,someone
71053,1,someone
71317,1,someone
71399,1,someone
71590,2,someone
71676,2,someone
72168,2,someone
72335,2,someone
72405,1,someone
72566,2,someone
72625,2,someone
72823,1,someone
73123,2,someone
73960,2,someone
74009,1,someone
74144,1,someone
74222,1,someone
74428,2,someone
74522,2,someone
74635,2,someone
74731,2,someone
75114,1,someone
75280,2,someone
82811,1,someone
83000,2,someone
83056,2,someone
83161,2,someone
83228,2,someone
83441,2,someone
83553,2,someone
83652,2,someone
83854,2,someone
83933,1,someone
84186,2,someone
84237,2,someone
84327,1,someone
84382,1,someone
84502,1,someone
84682,1,someone
84781,1,someone
84936,2,someone
85018,2,someone
85191,1,someone
85305,2,someone
85449,2,someone
85521,1,someone
85720,2,someone
85873,2,someone
85991,1,someone
86073,2,someone
86929,2,someone
87288,2,someone
87388,1,someone
87716,1,someone
87838,2,someone
88774,2,someone
88980,2,someone
89123,1,someone
89208,2,someone
89496,1,someone
89905,2,someone
